Clase,Variable,Media,Desv. Estándar,Mínimo,Máximo
setosa,sepal length (cm),5.006,0.35248968721345136,4.3,5.8
setosa,sepal width (cm),3.428,0.3790643690962887,2.3,4.4
setosa,petal length (cm),1.4620000000000002,0.17366399648018407,1.0,1.9
setosa,petal width (cm),0.24599999999999997,0.10538558938004565,0.1,0.6
versicolor,sepal length (cm),5.936,0.5161711470638634,4.9,7.0
versicolor,sepal width (cm),2.7700000000000005,0.3137983233784114,2.0,3.4
versicolor,petal length (cm),4.26,0.46991097723995795,3.0,5.1
versicolor,petal width (cm),1.3259999999999998,0.19775268000454405,1.0,1.8
virginica,sepal length (cm),6.587999999999998,0.6358795932744322,4.9,7.9
virginica,sepal width (cm),2.974,0.32249663817263746,2.2,3.8
virginica,petal length (cm),5.5520000000000005,0.5518946956639834,4.5,6.9
virginica,petal width (cm),2.0260000000000002,0.2746500556366674,1.4,2.5
