id,species_label,species_name,length_cm,width_cm
1,0,Jacaranda,10.5,4.2
2,0,Jacaranda,9.8,3.9
3,0,Jacaranda,11.2,4.5
4,0,Jacaranda,10.1,4.0
5,0,Jacaranda,12.3,4.7
6,0,Jacaranda,10.0,4.1
7,0,Jacaranda,11.5,4.3
8,0,Jacaranda,9.4,3.8
9,0,Jacaranda,10.7,4.4
10,0,Jacaranda,11.0,4.6
11,0,Jacaranda,10.2,4.0
12,0,Jacaranda,11.1,4.5
13,0,Jacaranda,10.4,4.3
14,0,Jacaranda,12.0,4.8
15,0,Jacaranda,9.9,4.0
16,0,Jacaranda,10.6,4.2
17,0,Jacaranda,11.3,4.4
18,0,Jacaranda,10.8,4.1
19,0,Jacaranda,11.7,4.3
20,0,Jacaranda,10.9,4.5
21,0,Jacaranda,11.0,4.4
22,0,Jacaranda,10.5,4.2
23,0,Jacaranda,11.6,4.6
24,0,Jacaranda,12.1,4.5
25,0,Jacaranda,10.3,4.3
26,0,Jacaranda,11.4,4.7
27,0,Jacaranda,10.8,4.1
28,0,Jacaranda,12.2,4.9
29,0,Jacaranda,10.4,4.0
30,0,Jacaranda,11.8,4.8
31,1,Abedul,12.0,5.5
32,1,Abedul,11.5,5.0
33,1,Abedul,13.0,5.8
34,1,Abedul,11.8,5.1
35,1,Abedul,12.5,5.3
36,1,Abedul,12.1,5.4
37,1,Abedul,13.2,5.2
38,1,Abedul,11.6,5.0
39,1,Abedul,12.3,5.1
40,1,Abedul,12.7,5.3
41,1,Abedul,11.9,5.4
42,1,Abedul,12.4,5.2
43,1,Abedul,12.8,5.1
44,1,Abedul,11.7,5.3
45,1,Abedul,12.6,5.6
46,1,Abedul,13.1,5.4
47,1,Abedul,12.9,5.1
48,1,Abedul,11.3,5.2
49,1,Abedul,12.2,5.3
50,1,Abedul,12.5,5.5
51,1,Abedul,11.4,5.0
52,1,Abedul,12.0,5.1
53,1,Abedul,12.1,5.2
54,1,Abedul,12.3,5.3
55,1,Abedul,11.8,5.4
56,1,Abedul,12.2,5.1
57,1,Abedul,12.4,5.0
58,1,Abedul,11.5,5.2
59,1,Abedul,12.6,5.3
60,1,Abedul,12.8,5.4
61,2,Fresno,9.5,3.5
62,2,Fresno,8.7,3.2
63,2,Fresno,10.0,3.8
64,2,Fresno,9.8,3.6
65,2,Fresno,10.2,3.9
66,2,Fresno,9.0,3.4
67,2,Fresno,11.0,4.1
68,2,Fresno,8.5,3.1
69,2,Fresno,9.3,3.3
70,2,Fresno,10.5,4.0
71,2,Fresno,9.1,3.4
72,2,Fresno,10.3,3.7
73,2,Fresno,8.9,3.2
74,2,Fresno,10.7,4.2
75,2,Fresno,9.6,3.5
76,2,Fresno,11.2,4.4
77,2,Fresno,8.8,3.3
78,2,Fresno,10.4,3.8
79,2,Fresno,9.4,3.6
80,2,Fresno,10.6,4.1
81,2,Fresno,9.2,3.4
82,2,Fresno,11.5,4.3
83,2,Fresno,8.6,3.1
84,2,Fresno,10.8,4.0
85,2,Fresno,9.7,3.5
86,2,Fresno,11.3,4.2
87,2,Fresno,8.4,3.0
88,2,Fresno,10.9,4.1
89,2,Fresno,9.3,3.4
90,2,Fresno,11.1,4.5
